id,lsoa21cd,lsoa21nm,wd24cd,wd24nm,lad24cd,lad24nm
12415,E01022279,Gloucester 007B,E05010950,Abbeydale,E07000081,Gloucester
12422,E01022277,Gloucester 010B,E05010950,Abbeydale,E07000081,Gloucester
12426,E01022320,Gloucester 011B,E05010961,"Matson, Robinswood and White City",E07000081,Gloucester
12430,E01022276,Gloucester 010A,E05010950,Abbeydale,E07000081,Gloucester
12485,E01022325,Gloucester 011F,E05010961,"Matson, Robinswood and White City",E07000081,Gloucester
12491,E01022281,Gloucester 010D,E05010951,Abbeymead,E07000081,Gloucester
12495,E01022280,Gloucester 010C,E05010951,Abbeymead,E07000081,Gloucester
12496,E01022322,Gloucester 011D,E05010961,"Matson, Robinswood and White City",E07000081,Gloucester
12502,E01022307,Gloucester 010F,E05010951,Abbeymead,E07000081,Gloucester
12503,E01022330,Gloucester 009C,E05010962,Moreland,E07000081,Gloucester
12509,E01022287,Gloucester 007G,E05010952,Barnwood,E07000081,Gloucester
12510,E01022329,Gloucester 008E,E05010962,Moreland,E07000081,Gloucester
12516,E01022282,Gloucester 007C,E05010952,Barnwood,E07000081,Gloucester
12517,E01022331,Gloucester 009D,E05010962,Moreland,E07000081,Gloucester
12523,E01022283,Gloucester 006A,E05010952,Barnwood,E07000081,Gloucester
12525,E01022332,Gloucester 004A,E05010962,Moreland,E07000081,Gloucester
12527,E01022293,Gloucester 008A,E05010953,Barton and Tredworth,E07000081,Gloucester
12531,E01022328,Gloucester 008D,E05010962,Moreland,E07000081,Gloucester
12534,E01022289,Gloucester 005B,E05010953,Barton and Tredworth,E07000081,Gloucester
12537,E01022291,Gloucester 005D,E05010953,Barton and Tredworth,E07000081,Gloucester
12543,E01022327,Gloucester 009B,E05010962,Moreland,E07000081,Gloucester
12544,E01022292,Gloucester 005E,E05010953,Barton and Tredworth,E07000081,Gloucester
12550,E01022326,Gloucester 009A,E05010962,Moreland,E07000081,Gloucester
12551,E01022290,Gloucester 005C,E05010953,Barton and Tredworth,E07000081,Gloucester
12557,E01022333,Gloucester 009E,E05010963,Podsmead,E07000081,Gloucester
12558,E01022288,Gloucester 005A,E05010953,Barton and Tredworth,E07000081,Gloucester
12564,E01022334,Gloucester 009F,E05010963,Podsmead,E07000081,Gloucester
12565,E01022294,Gloucester 008B,E05010953,Barton and Tredworth,E07000081,Gloucester
12570,E01022338,Gloucester 015D,E05010964,Quedgeley Fieldcourt,E07000081,Gloucester
12573,E01022336,Gloucester 015B,E05010964,Quedgeley Fieldcourt,E07000081,Gloucester
12577,E01022286,Gloucester 007F,E05010954,Coney Hill,E07000081,Gloucester
12581,E01034798,Gloucester 015L,E05010964,Quedgeley Fieldcourt,E07000081,Gloucester
12583,E01022285,Gloucester 007E,E05010954,Coney Hill,E07000081,Gloucester
12588,E01022335,Gloucester 015A,E05010964,Quedgeley Fieldcourt,E07000081,Gloucester
12590,E01022284,Gloucester 007D,E05010954,Coney Hill,E07000081,Gloucester
12595,E01034797,Gloucester 015K,E05010964,Quedgeley Fieldcourt,E07000081,Gloucester
12597,E01022297,Gloucester 003C,E05010955,Elmbridge,E07000081,Gloucester
12602,E01022341,Gloucester 014C,E05010965,Quedgeley Severn Vale,E07000081,Gloucester
12604,E01022295,Gloucester 003A,E05010955,Elmbridge,E07000081,Gloucester
12609,E01022340,Gloucester 014B,E05010965,Quedgeley Severn Vale,E07000081,Gloucester
12611,E01022298,Gloucester 003D,E05010955,Elmbridge,E07000081,Gloucester
12642,E01022296,Gloucester 003B,E05010955,Elmbridge,E07000081,Gloucester
12646,E01022339,Gloucester 014A,E05010965,Quedgeley Severn Vale,E07000081,Gloucester
12648,E01022302,Gloucester 013D,E05010956,Grange,E07000081,Gloucester
12652,E01022342,Gloucester 014D,E05010965,Quedgeley Severn Vale,E07000081,Gloucester
12654,E01022299,Gloucester 013A,E05010956,Grange,E07000081,Gloucester
12658,E01022346,Gloucester 012D,E05010966,Tuffley,E07000081,Gloucester
12660,E01022301,Gloucester 013C,E05010956,Grange,E07000081,Gloucester
12661,E01022300,Gloucester 013B,E05010956,Grange,E07000081,Gloucester
12662,E01022303,Gloucester 006B,E05010957,Hucclecote,E07000081,Gloucester
12663,E01022304,Gloucester 006C,E05010957,Hucclecote,E07000081,Gloucester
12664,E01022305,Gloucester 006D,E05010957,Hucclecote,E07000081,Gloucester
12665,E01022306,Gloucester 010E,E05010957,Hucclecote,E07000081,Gloucester
12666,E01022308,Gloucester 006E,E05010957,Hucclecote,E07000081,Gloucester
12667,E01022311,Gloucester 002C,E05010958,Kingsholm and Wotton,E07000081,Gloucester
12668,E01022309,Gloucester 002A,E05010958,Kingsholm and Wotton,E07000081,Gloucester
12669,E01022310,Gloucester 002B,E05010958,Kingsholm and Wotton,E07000081,Gloucester
12670,E01022312,Gloucester 002D,E05010958,Kingsholm and Wotton,E07000081,Gloucester
12671,E01034795,Gloucester 015I,E05010959,Kingsway,E07000081,Gloucester
12672,E01032933,Gloucester 015E,E05010959,Kingsway,E07000081,Gloucester
12673,E01032935,Gloucester 015G,E05010959,Kingsway,E07000081,Gloucester
12674,E01034796,Gloucester 015J,E05010959,Kingsway,E07000081,Gloucester
12675,E01022315,Gloucester 001B,E05010960,Longlevens,E07000081,Gloucester
12676,E01022313,Gloucester 001A,E05010960,Longlevens,E07000081,Gloucester
12677,E01022314,Gloucester 002E,E05010960,Longlevens,E07000081,Gloucester
12678,E01022317,Gloucester 001D,E05010960,Longlevens,E07000081,Gloucester
12679,E01022316,Gloucester 001C,E05010960,Longlevens,E07000081,Gloucester
12680,E01022318,Gloucester 001E,E05010960,Longlevens,E07000081,Gloucester
12681,E01022321,Gloucester 011C,E05010961,"Matson, Robinswood and White City",E07000081,Gloucester
12682,E01022324,Gloucester 011E,E05010961,"Matson, Robinswood and White City",E07000081,Gloucester
12683,E01022323,Gloucester 008C,E05010961,"Matson, Robinswood and White City",E07000081,Gloucester
12684,E01022319,Gloucester 011A,E05010961,"Matson, Robinswood and White City",E07000081,Gloucester
12685,E01022343,Gloucester 012A,E05010966,Tuffley,E07000081,Gloucester
12686,E01022344,Gloucester 012B,E05010966,Tuffley,E07000081,Gloucester
12687,E01022345,Gloucester 012C,E05010966,Tuffley,E07000081,Gloucester
12688,E01034793,Gloucester 004I,E05010967,Westgate,E07000081,Gloucester
12689,E01034791,Gloucester 004G,E05010967,Westgate,E07000081,Gloucester
12690,E01034794,Gloucester 004J,E05010967,Westgate,E07000081,Gloucester
12691,E01034792,Gloucester 004H,E05010967,Westgate,E07000081,Gloucester
12692,E01032932,Gloucester 004E,E05010967,Westgate,E07000081,Gloucester
12693,E01032937,Gloucester 004F,E05010967,Westgate,E07000081,Gloucester
12741,E01022278,Gloucester 007A,E05010950,Abbeydale,E07000081,Gloucester
